Какие отношения Вы хотите найти?,Дружеские,Моногамные,Полиаморные,Исключительно сексуальные
Какой касте воровских отношений вы принадлежите?,вор в законе ,петух(опущенный),мужик,активист
Сколько у тебя кошек? ,1,2,3,Нет котиков
Какой у вас пол?,Паркет,Плитка,Ламинат,""
Сколько раз во время занятия сексом с вашим партнёром вы пили пиво?,1,2,3,4
Каким типом личности вы бы себя описали?,Экстраверт,Амбиверт,Интроверт,""
Кто твой краш?,Кама,Теляк ,Рофловский,Гуров
У тебя НДФЛ 15%?,У меня 21 см,Что такое НДФЛ?,"Начинаю рыдать, когда думаю, что ещё повысят",""
Любовь существует?,Да,Нет,"",""
Что ты предпочитаешь пить?,Чай,Кофе,Воду,Вино
Какой внешности человека вы предпочитаете найти?  ,Европейская,Азиатская ,Кавказская,Монголоидная
Какой фастфуд твой любимый?,Макдональдс,KFC,Бургер Кинг,Крошка картошка
Крым наш?,Твой,Мой,Наш,Их
Какой твой любимый праздник?,День победы,Новый год,День рождения,Международный день пива
Красное или белое?,Карсное и Белое,Белое,Красное,Ароматный мир
